id,name,state_id/id,municipio_id/id,ciudad_id/id
cfd_mx.res_country_state_cp_52113,52113,MEX,,
cfd_mx.res_country_state_cp_52114,52114,MEX,,
cfd_mx.res_country_state_cp_52115,52115,MEX,,
cfd_mx.res_country_state_cp_52116,52116,MEX,,
cfd_mx.res_country_state_cp_52117,52117,MEX,,
cfd_mx.res_country_state_cp_52118,52118,MEX,,
cfd_mx.res_country_state_cp_52119,52119,MEX,,
cfd_mx.res_country_state_cp_52120076,52120,MEX,076,
cfd_mx.res_country_state_cp_52121,52121,MEX,,
cfd_mx.res_country_state_cp_52122,52122,MEX,,
cfd_mx.res_country_state_cp_52123,52123,MEX,,
cfd_mx.res_country_state_cp_52124,52124,MEX,,
cfd_mx.res_country_state_cp_52125,52125,MEX,,
cfd_mx.res_country_state_cp_52126,52126,MEX,,
cfd_mx.res_country_state_cp_52127,52127,MEX,,
cfd_mx.res_country_state_cp_52128,52128,MEX,,
cfd_mx.res_country_state_cp_52129,52129,MEX,,
cfd_mx.res_country_state_cp_52130,52130,MEX,,
cfd_mx.res_country_state_cp_52131,52131,MEX,,
cfd_mx.res_country_state_cp_52132,52132,MEX,,
cfd_mx.res_country_state_cp_52133,52133,MEX,,
cfd_mx.res_country_state_cp_52134,52134,MEX,,
cfd_mx.res_country_state_cp_52135,52135,MEX,,
cfd_mx.res_country_state_cp_52136,52136,MEX,,
cfd_mx.res_country_state_cp_52137,52137,MEX,,
cfd_mx.res_country_state_cp_52138,52138,MEX,,
cfd_mx.res_country_state_cp_52139,52139,MEX,,
cfd_mx.res_country_state_cp_5214005408,52140,MEX,054,08
cfd_mx.res_country_state_cp_52141,52141,MEX,,
cfd_mx.res_country_state_cp_52142,52142,MEX,,
cfd_mx.res_country_state_cp_5214305408,52143,MEX,054,08
cfd_mx.res_country_state_cp_5214405408,52144,MEX,054,08
cfd_mx.res_country_state_cp_5214505408,52145,MEX,054,08
cfd_mx.res_country_state_cp_5214605408,52146,MEX,054,08
cfd_mx.res_country_state_cp_5214705408,52147,MEX,054,08
cfd_mx.res_country_state_cp_5214805408,52148,MEX,054,08
cfd_mx.res_country_state_cp_5214905408,52149,MEX,054,08
cfd_mx.res_country_state_cp_5215005408,52150,MEX,054,08
cfd_mx.res_country_state_cp_52151,52151,MEX,,
cfd_mx.res_country_state_cp_52152,52152,MEX,,
cfd_mx.res_country_state_cp_52153,52153,MEX,,
cfd_mx.res_country_state_cp_5215405408,52154,MEX,054,08
cfd_mx.res_country_state_cp_5215505408,52155,MEX,054,08
cfd_mx.res_country_state_cp_5215605408,52156,MEX,054,08
cfd_mx.res_country_state_cp_5215705408,52157,MEX,054,08
