id,clave,name,descripcion
cfd_mx.unidadesmedida_FR,FR,foot per minute,
cfd_mx.unidadesmedida_IU,IU,inch per second,
cfd_mx.unidadesmedida_IU,IU,inch per second,
cfd_mx.unidadesmedida_FS,FS,foot per second,
cfd_mx.unidadesmedida_HM,HM,mile per hour (statute mile),
cfd_mx.unidadesmedida_J84,J84,centimetre per second kelvin,
cfd_mx.unidadesmedida_J85,J85,centimetre per second bar,
cfd_mx.unidadesmedida_K14,K14,foot per hour,
cfd_mx.unidadesmedida_K18,K18,foot per second degree Fahrenheit,
cfd_mx.unidadesmedida_K19,K19,foot per second psi,
cfd_mx.unidadesmedida_K47,K47,inch per second degree Fahrenheit,
cfd_mx.unidadesmedida_K48,K48,inch per second psi,
cfd_mx.unidadesmedida_L12,L12,metre per second kelvin,
cfd_mx.unidadesmedida_L13,L13,metre per second bar,
cfd_mx.unidadesmedida_M22,M22,millilitre per square centimetre minute,
cfd_mx.unidadesmedida_M57,M57,mile per minute ,Unit of velocity from the Imperial system of units.
cfd_mx.unidadesmedida_M58,M58,mile per second ,Unit of the velocity from the Imperial system of units.
cfd_mx.unidadesmedida_M60,M60,metre per hour,SI base unit metre divided by the unit hour.
cfd_mx.unidadesmedida_M61,M61,inch per year,Unit of the length according to the Anglo-American and Imperial system of units divided by the unit common year with 365 days.
cfd_mx.unidadesmedida_M62,M62,kilometre per second ,1000-fold of the SI base unit metre divided by the SI base unit second.
cfd_mx.unidadesmedida_M63,M63,inch per minute,Unit inch according to the Anglo-American and Imperial system of units divided by the unit minute.
cfd_mx.unidadesmedida_M64,M64,yard per second,Unit yard according to the Anglo-American and Imperial system of units divided by the SI base unit second.
cfd_mx.unidadesmedida_M65,M65,yard per minute,Unit yard according to the Anglo-American and Imperial system of units divided by the unit minute.
cfd_mx.unidadesmedida_M66,M66,yard per hour,Unit yard according to the Anglo-American and Imperial system of units divided by the unit hour.
cfd_mx.unidadesmedida_MSK,MSK,metre per second squared,
cfd_mx.unidadesmedida_A76,A76,gal,
cfd_mx.unidadesmedida_C11,C11,milligal,
cfd_mx.unidadesmedida_M38,M38,kilometre per second squared,1000-fold of the SI base unit metre divided by the power of the SI base unit second by exponent 2.
cfd_mx.unidadesmedida_M39,M39,centimetre per second squared,"0,01-fold of the SI base unit metre divided by the power of the SI base unit second by exponent 2."
cfd_mx.unidadesmedida_M41,M41,millimetre per second squared,"0,001-fold of the SI base unit metre divided by the power of the SI base unit second by exponent 2."
cfd_mx.unidadesmedida_A73,A73,foot per second squared,
cfd_mx.unidadesmedida_IV,IV,inch per second squared,
cfd_mx.unidadesmedida_K40,K40,standard acceleration of free fall,
cfd_mx.unidadesmedida_M40,M40,yard per second squared,Unit of the length according to the Anglo-American and Imperial system of units divided by the power of the SI base unit second by exponent 2.
cfd_mx.unidadesmedida_M42,M42,mile (statute mile) per second squared,Unit of the length according to the Imperial system of units divided by the power of the SI base unit second by exponent 2.
cfd_mx.unidadesmedida_C92,C92,reciprocal metre,
cfd_mx.unidadesmedida_Q32,Q32,femtolitre,
cfd_mx.unidadesmedida_Q33,Q33,picolitre,
cfd_mx.unidadesmedida_Q34,Q34,nanolitre,
cfd_mx.unidadesmedida_AWG,AWG,american wire gauge,A unit of distance used for measuring the diameter of small tubes or wires such as the outer diameter od hypodermic or suture needles.
cfd_mx.unidadesmedida_NM3,NM3,Normalised cubic metre,Normalised cubic metre (temperature 0°C and pressure 101325 millibars )
cfd_mx.unidadesmedida_SM3,SM3,Standard cubic metre,Standard cubic metre (temperature 15°C and pressure 101325 millibars )
cfd_mx.unidadesmedida_HTZ,HTZ,hertz,
cfd_mx.unidadesmedida_KHZ,KHZ,kilohertz,
cfd_mx.unidadesmedida_MHZ,MHZ,megahertz,
cfd_mx.unidadesmedida_D29,D29,terahertz,
cfd_mx.unidadesmedida_A86,A86,gigahertz,
cfd_mx.unidadesmedida_H10,H10,reciprocal hour,
cfd_mx.unidadesmedida_H11,H11,reciprocal month,
cfd_mx.unidadesmedida_H09,H09,reciprocal year,
cfd_mx.unidadesmedida_H85,H85,reciprocal week,
cfd_mx.unidadesmedida_C97,C97,reciprocal second,
cfd_mx.unidadesmedida_RPS,RPS,revolutions per second,Refer ISO/TC12 SI Guide
cfd_mx.unidadesmedida_RPM,RPM,revolutions per minute,Refer ISO/TC12 SI Guide
cfd_mx.unidadesmedida_C94,C94,reciprocal minute,
cfd_mx.unidadesmedida_2A,2A,radian per second,Refer ISO/TC12 SI Guide
cfd_mx.unidadesmedida_C97,C97,reciprocal second,
cfd_mx.unidadesmedida_MTR,MTR,metre,
cfd_mx.unidadesmedida_A11,A11,angstrom,
cfd_mx.unidadesmedida_C92,C92,reciprocal metre,
cfd_mx.unidadesmedida_C50,C50,neper,
cfd_mx.unidadesmedida_2N,2N,decibel,
cfd_mx.unidadesmedida_M72,M72,bel,Logarithmic relationship to base 10.
cfd_mx.unidadesmedida_C97,C97,reciprocal second,
cfd_mx.unidadesmedida_C51,C51,neper per second,
cfd_mx.unidadesmedida_C50,C50,neper,
cfd_mx.unidadesmedida_KGM,KGM,kilogram,A unit of mass equal to one thousand grams.
cfd_mx.unidadesmedida_MC,MC,microgram,
cfd_mx.unidadesmedida_DJ,DJ,decagram,
cfd_mx.unidadesmedida_DG,DG,decigram,
cfd_mx.unidadesmedida_GRM,GRM,gram,
cfd_mx.unidadesmedida_CGM,CGM,centigram,
cfd_mx.unidadesmedida_TNE,TNE,tonne (metric ton),Synonym: metric ton
cfd_mx.unidadesmedida_DTN,DTN,decitonne,"Synonym: centner, metric 100 kg; quintal, metric 100 kg"
cfd_mx.unidadesmedida_MGM,MGM,milligram,
cfd_mx.unidadesmedida_HGM,HGM,hectogram,
cfd_mx.unidadesmedida_KTN,KTN,kilotonne,
cfd_mx.unidadesmedida_2U,2U,megagram,
cfd_mx.unidadesmedida_LBR,LBR,pound,
cfd_mx.unidadesmedida_GRN,GRN,grain,
cfd_mx.unidadesmedida_ONZ,ONZ,ounce (avoirdupois),
cfd_mx.unidadesmedida_CWI,CWI,hundred weight (UK),
cfd_mx.unidadesmedida_CWA,CWA,hundred pound (cwt) / hundred weight (US),
cfd_mx.unidadesmedida_LTN,LTN,ton (UK) or long ton (US),Synonym: gross ton (2240 lb)
cfd_mx.unidadesmedida_STI,STI,stone (UK),
