id,clave,name
cfd_mx.cfd_mx_prodserv_10152003,10152003,Semillas o esquejes de árboles de frutos secos
cfd_mx.cfd_mx_prodserv_10152004,10152004,Plántulas de latifoliados
cfd_mx.cfd_mx_prodserv_10152005,10152005,Plántulas de coníferas
cfd_mx.cfd_mx_prodserv_10152006,10152006,Semillas o yemas de pino
cfd_mx.cfd_mx_prodserv_10152007,10152007,Semillas o yemas de algarrobo
cfd_mx.cfd_mx_prodserv_10152100,10152100,Residuos que no sean de piensos
cfd_mx.cfd_mx_prodserv_10152101,10152101,Extracción de los residuos de semilla de babool
cfd_mx.cfd_mx_prodserv_10152102,10152102,Residuos de semilla de colza
cfd_mx.cfd_mx_prodserv_10152103,10152103,Residuo de semillas de linaza
cfd_mx.cfd_mx_prodserv_10152104,10152104,Torta de neem
cfd_mx.cfd_mx_prodserv_10152200,10152200,Semillas de cultivos fibrosos y semilleros
cfd_mx.cfd_mx_prodserv_10152201,10152201,Semillas o plántulas de algodón
cfd_mx.cfd_mx_prodserv_10152202,10152202,Semillas o plántulas de lino
cfd_mx.cfd_mx_prodserv_10152300,10152300,Plántulas y semillas de leguminosas
cfd_mx.cfd_mx_prodserv_10152400,10152400,Plántulas y semillas de tubérculos
cfd_mx.cfd_mx_prodserv_10161500,10161500,Árboles y arbustos
cfd_mx.cfd_mx_prodserv_10161501,10161501,Aceitunos
cfd_mx.cfd_mx_prodserv_10161502,10161502,Cafetos
cfd_mx.cfd_mx_prodserv_10161503,10161503,Cacaoteros
cfd_mx.cfd_mx_prodserv_10161504,10161504,Manzanos
cfd_mx.cfd_mx_prodserv_10161505,10161505,Peros
cfd_mx.cfd_mx_prodserv_10161506,10161506,Naranjos
cfd_mx.cfd_mx_prodserv_10161507,10161507,Rododendros
cfd_mx.cfd_mx_prodserv_10161508,10161508,Plantas de te
cfd_mx.cfd_mx_prodserv_10161509,10161509,Coníferas
cfd_mx.cfd_mx_prodserv_10161510,10161510,Abetos rojos (píceas)
cfd_mx.cfd_mx_prodserv_10161511,10161511,Pinos
cfd_mx.cfd_mx_prodserv_10161512,10161512,Abetos
cfd_mx.cfd_mx_prodserv_10161513,10161513,Palmeras
cfd_mx.cfd_mx_prodserv_10161514,10161514,Casuarina
cfd_mx.cfd_mx_prodserv_10161515,10161515,Ciprés
cfd_mx.cfd_mx_prodserv_10161516,10161516,Eucalipto
cfd_mx.cfd_mx_prodserv_10161517,10161517,Árbol de quinua
cfd_mx.cfd_mx_prodserv_10161518,10161518,Magnolio
cfd_mx.cfd_mx_prodserv_10161519,10161519,Mioporo
cfd_mx.cfd_mx_prodserv_10161520,10161520,Acalifa
cfd_mx.cfd_mx_prodserv_10161521,10161521,Tecomaria capensis o madreselva del cabo
cfd_mx.cfd_mx_prodserv_10161522,10161522,Arbusto croton bolaina
cfd_mx.cfd_mx_prodserv_10161523,10161523,Abutillón
cfd_mx.cfd_mx_prodserv_10161524,10161524,Ficus
cfd_mx.cfd_mx_prodserv_10161525,10161525,Lúcumo
cfd_mx.cfd_mx_prodserv_10161526,10161526,Aguacatal
cfd_mx.cfd_mx_prodserv_10161527,10161527,Guanábano
cfd_mx.cfd_mx_prodserv_10161528,10161528,Carambolo
cfd_mx.cfd_mx_prodserv_10161529,10161529,Ciruelo
cfd_mx.cfd_mx_prodserv_10161530,10161530,Árbol de quince
cfd_mx.cfd_mx_prodserv_10161600,10161600,Plantas florales
cfd_mx.cfd_mx_prodserv_10161602,10161602,Poinsettias
cfd_mx.cfd_mx_prodserv_10161604,10161604,Azaleas
cfd_mx.cfd_mx_prodserv_10161605,10161605,Cactos
cfd_mx.cfd_mx_prodserv_10161606,10161606,Ageratum púrpura
cfd_mx.cfd_mx_prodserv_10161800,10161800,Plantas sin flor
cfd_mx.cfd_mx_prodserv_10161801,10161801,Helechos
cfd_mx.cfd_mx_prodserv_10161802,10161802,Hiedras
cfd_mx.cfd_mx_prodserv_10161803,10161803,Filodendros
cfd_mx.cfd_mx_prodserv_10161804,10161804,Líquenes
cfd_mx.cfd_mx_prodserv_10161805,10161805,Vides
cfd_mx.cfd_mx_prodserv_10161900,10161900,Productos florales secos
cfd_mx.cfd_mx_prodserv_10161901,10161901,Vainas secas
cfd_mx.cfd_mx_prodserv_10161902,10161902,Follaje seco
cfd_mx.cfd_mx_prodserv_10161903,10161903,Helechos secos
cfd_mx.cfd_mx_prodserv_10161905,10161905,Ramas y tallos secos
cfd_mx.cfd_mx_prodserv_10161906,10161906,Penachos de gramíneas secos
cfd_mx.cfd_mx_prodserv_10161907,10161907,Flores secas prensadas
cfd_mx.cfd_mx_prodserv_10161908,10161908,Pétalos secos
cfd_mx.cfd_mx_prodserv_10171500,10171500,Abonos orgánicos y nutrientes para plantas
cfd_mx.cfd_mx_prodserv_10171501,10171501,Estiércol o guano
cfd_mx.cfd_mx_prodserv_10171502,10171502,Hormonas para plantas
cfd_mx.cfd_mx_prodserv_10171503,10171503,Harina de pescado
cfd_mx.cfd_mx_prodserv_10171504,10171504,Abono
cfd_mx.cfd_mx_prodserv_10171505,10171505,Nutriente foliar
cfd_mx.cfd_mx_prodserv_10171506,10171506,Humus
cfd_mx.cfd_mx_prodserv_10171600,10171600,Abonos químicos y nutrientes para plantas
cfd_mx.cfd_mx_prodserv_10171601,10171601,Fertilizante nitrogenado
cfd_mx.cfd_mx_prodserv_10171602,10171602,Fertilizante de potasio
cfd_mx.cfd_mx_prodserv_10171603,10171603,Fertilizante de fósforo
cfd_mx.cfd_mx_prodserv_10171604,10171604,Fertilizante de sulfuro
cfd_mx.cfd_mx_prodserv_10171605,10171605,Mezclas de nitrógeno – fósforo – potasio – npk
cfd_mx.cfd_mx_prodserv_10171606,10171606,Fertilizarte de sílice puro
cfd_mx.cfd_mx_prodserv_10171607,10171607,Fertilizante con magnesio
cfd_mx.cfd_mx_prodserv_10171608,10171608,Fertilizante micro elemento
cfd_mx.cfd_mx_prodserv_10171609,10171609,Fertilizante fosfato de sílice
cfd_mx.cfd_mx_prodserv_10171610,10171610,Fertilizante potasio de sílice
cfd_mx.cfd_mx_prodserv_10171611,10171611,Fertilizante de calcio
cfd_mx.cfd_mx_prodserv_10171700,10171700,Herbicidas
cfd_mx.cfd_mx_prodserv_10171701,10171701,Matamalezas
cfd_mx.cfd_mx_prodserv_10171702,10171702,Fungicidas
cfd_mx.cfd_mx_prodserv_10171800,10171800,Acondicionadores de suelos
cfd_mx.cfd_mx_prodserv_10171801,10171801,Acondicionador orgánico de suelos
cfd_mx.cfd_mx_prodserv_10171802,10171802,Acondicionador inorgánico de suelos
cfd_mx.cfd_mx_prodserv_10191500,10191500,Pesticidas o repelentes de plagas
cfd_mx.cfd_mx_prodserv_10191506,10191506,Mata – roedores
cfd_mx.cfd_mx_prodserv_10191507,10191507,Repelentes de aves
cfd_mx.cfd_mx_prodserv_10191508,10191508,Protectores contra termitas
cfd_mx.cfd_mx_prodserv_10191509,10191509,Insecticidas
cfd_mx.cfd_mx_prodserv_10191510,10191510,Abamectina
cfd_mx.cfd_mx_prodserv_10191511,10191511,Fipronil
cfd_mx.cfd_mx_prodserv_10191700,10191700,Dispositivos para control de plagas
cfd_mx.cfd_mx_prodserv_10191701,10191701,Trampas para control animal
cfd_mx.cfd_mx_prodserv_10191703,10191703,Trampas para el control de insectos voladores
cfd_mx.cfd_mx_prodserv_10191704,10191704,Matamoscas
cfd_mx.cfd_mx_prodserv_10191705,10191705,Lazos
cfd_mx.cfd_mx_prodserv_10191706,10191706,Cepos
cfd_mx.cfd_mx_prodserv_10191707,10191707,Repelente ultrasónico de pestes
cfd_mx.cfd_mx_prodserv_10201500,10201500,Rosales vivos azules o lavanda o púrpura
cfd_mx.cfd_mx_prodserv_10201501,10201501,Rosal vivo allure o sterling 95
cfd_mx.cfd_mx_prodserv_10201502,10201502,Rosal vivo amnesia
cfd_mx.cfd_mx_prodserv_10201503,10201503,Rosal vivo augusta louise
cfd_mx.cfd_mx_prodserv_10201504,10201504,Rosal vivo avant garde
cfd_mx.cfd_mx_prodserv_10201505,10201505,Rosal vivo blue bird
cfd_mx.cfd_mx_prodserv_10201506,10201506,Rosal vivo curiosa
cfd_mx.cfd_mx_prodserv_10201507,10201507,Rosal vivo cool water
cfd_mx.cfd_mx_prodserv_10201508,10201508,Rosal vivo delilah
cfd_mx.cfd_mx_prodserv_10201509,10201509,Rosal vivo double party
cfd_mx.cfd_mx_prodserv_10201510,10201510,Rosal vivo faith
cfd_mx.cfd_mx_prodserv_10201511,10201511,Rosal vivo mami blue o mammy blue
cfd_mx.cfd_mx_prodserv_10201512,10201512,Rosal vivo marítimo
cfd_mx.cfd_mx_prodserv_10201513,10201513,Rosal vivo milano
cfd_mx.cfd_mx_prodserv_10201514,10201514,Rosal vivo mistery
cfd_mx.cfd_mx_prodserv_10201515,10201515,Rosal vivo ocean song o boyfriend
cfd_mx.cfd_mx_prodserv_10201516,10201516,Rosal vivo cezanne púrpura
cfd_mx.cfd_mx_prodserv_10201517,10201517,Rosal vivo purple fragrance
cfd_mx.cfd_mx_prodserv_10201518,10201518,Rosal vivo sanaa
cfd_mx.cfd_mx_prodserv_10201519,10201519,Rosal vivo silverstone
cfd_mx.cfd_mx_prodserv_10201520,10201520,Rosal vivo soulmate
cfd_mx.cfd_mx_prodserv_10201521,10201521,Rosal vivo stranger
cfd_mx.cfd_mx_prodserv_10201522,10201522,Rosal vivo tinted blue
cfd_mx.cfd_mx_prodserv_10201523,10201523,Rosal vivo two faces
cfd_mx.cfd_mx_prodserv_10201600,10201600,Rosales vivos chocolate o marrón
cfd_mx.cfd_mx_prodserv_10201601,10201601,Rosal vivo black lava
cfd_mx.cfd_mx_prodserv_10201602,10201602,Rosal vivo cimarron
cfd_mx.cfd_mx_prodserv_10201603,10201603,Rosal vivo coffee break
cfd_mx.cfd_mx_prodserv_10201604,10201604,Rosal vivo estelle
cfd_mx.cfd_mx_prodserv_10201605,10201605,Rosal vivo gypsy leonidas
cfd_mx.cfd_mx_prodserv_10201606,10201606,Rosal vivo leonidas
cfd_mx.cfd_mx_prodserv_10201607,10201607,Rosal vivo matilda
cfd_mx.cfd_mx_prodserv_10201608,10201608,Rosal vivo sunny leonidas
cfd_mx.cfd_mx_prodserv_10201609,10201609,Rosal vivo terra nostra
cfd_mx.cfd_mx_prodserv_10201610,10201610,Rosal vivo terracotta
cfd_mx.cfd_mx_prodserv_10201700,10201700,Rosales vivos crema
cfd_mx.cfd_mx_prodserv_10201701,10201701,Rosal vivo advenire
cfd_mx.cfd_mx_prodserv_10201702,10201702,Rosal vivo alex
cfd_mx.cfd_mx_prodserv_10201703,10201703,Rosal vivo antique brass
cfd_mx.cfd_mx_prodserv_10201704,10201704,Rosal vivo aubade
cfd_mx.cfd_mx_prodserv_10201705,10201705,Rosal vivo beach
cfd_mx.cfd_mx_prodserv_10201706,10201706,Rosal vivo belle pearl
cfd_mx.cfd_mx_prodserv_10201707,10201707,Rosal vivo blush de los andes
cfd_mx.cfd_mx_prodserv_10201708,10201708,Rosal vivo camel
cfd_mx.cfd_mx_prodserv_10201709,10201709,Rosal vivo caramel antike o caramel antique
cfd_mx.cfd_mx_prodserv_10201710,10201710,Rosal vivo champagne
cfd_mx.cfd_mx_prodserv_10201711,10201711,Rosal vivo clear ocean
cfd_mx.cfd_mx_prodserv_10201712,10201712,Rosal vivo combo
cfd_mx.cfd_mx_prodserv_10201713,10201713,Rosal vivo creme de la creme
cfd_mx.cfd_mx_prodserv_10201714,10201714,Rosal vivo emanuella
